[Fri Jan 13 19:35:28.607876 2017] [:error] [pid 9052] [client 127.0.0.1:52998] PHP Parse error:  syntax error, unexpected '->' (T_OBJECT_OPERATOR), expecting identifier (T_STRING) or variable (T_VARIABLE) or '{' or '$' in /var/www/Aplikacija_Pweb/src/AppBundle/Form/PrijavaType.php on line 35, referer: http://dev.aplikacijapweb/app_dev.php/
[Fri Jan 13 19:35:38.701299 2017] [:error] [pid 3717] [client 127.0.0.1:53008] PHP Fatal error:  Call to a member function getKategorija() on null in /var/www/Aplikacija_Pweb/src/AppBundle/Form/PrijavaType.php on line 35, referer: http://dev.aplikacijapweb/app_dev.php/
[Fri Jan 13 19:37:07.270885 2017] [:error] [pid 3720] [client 127.0.0.1:53102] PHP Fatal error:  Call to a member function getKategorija() on null in /var/www/Aplikacija_Pweb/src/AppBundle/Form/PrijavaType.php on line 35, referer: http://dev.aplikacijapweb/app_dev.php/
[Fri Jan 13 19:38:29.853840 2017] [:error] [pid 3716] [client 127.0.0.1:53142] PHP Fatal error:  Call to a member function getKategorija() on null in /var/www/Aplikacija_Pweb/src/AppBundle/Form/PrijavaType.php on line 38, referer: http://dev.aplikacijapweb/app_dev.php/
[Fri Jan 13 19:40:39.700448 2017] [:error] [pid 16820] [client 127.0.0.1:53174] PHP Fatal error:  Call to a member function getKategorija() on null in /var/www/Aplikacija_Pweb/src/AppBundle/Form/PrijavaType.php on line 37, referer: http://dev.aplikacijapweb/app_dev.php/
[Fri Jan 13 19:40:46.880730 2017] [:error] [pid 3720] [client 127.0.0.1:53178] PHP Fatal error:  Call to a member function getKategorija() on null in /var/www/Aplikacija_Pweb/src/AppBundle/Form/PrijavaType.php on line 37, referer: http://dev.aplikacijapweb/app_dev.php/
[Fri Jan 13 19:40:52.251380 2017] [:error] [pid 9052] [client 127.0.0.1:53180] PHP Fatal error:  Call to a member function getKategorija() on null in /var/www/Aplikacija_Pweb/src/AppBundle/Form/PrijavaType.php on line 37, referer: http://dev.aplikacijapweb/app_dev.php/
[Fri Jan 13 20:02:43.475762 2017] [:error] [pid 9051] [client 127.0.0.1:53428] PHP Parse error:  syntax error, unexpected '}' in /var/www/Aplikacija_Pweb/src/AppBundle/Form/TimType.php on line 26, referer: http://dev.aplikacijapweb/app_dev.php/
[Sat Jan 14 14:15:34.045449 2017] [:error] [pid 6772] [client 127.0.0.1:54188] PHP Fatal error:  Call to a member function getKategorija() on null in /var/www/Aplikacija_Pweb/src/AppBundle/Form/PrijavaType.php on line 37, referer: http://dev.aplikacijapweb/app_dev.php/
[Sat Jan 14 14:15:46.903251 2017] [:error] [pid 6655] [client 127.0.0.1:54198] PHP Fatal error:  Call to a member function getKategorija() on null in /var/www/Aplikacija_Pweb/src/AppBundle/Form/PrijavaType.php on line 37, referer: http://dev.aplikacijapweb/app_dev.php/
[Sat Jan 14 14:17:32.497065 2017] [:error] [pid 6774] [client 127.0.0.1:54236] PHP Fatal error:  Call to undefined method AppBundle\\Entity\\Takmicenje::getNaziv() in /var/www/Aplikacija_Pweb/src/AppBundle/Form/PrijavaType.php on line 24, referer: http://dev.aplikacijapweb/app_dev.php/
[Sat Jan 14 14:17:39.045323 2017] [:error] [pid 6771] [client 127.0.0.1:54246] PHP Fatal error:  Call to undefined method AppBundle\\Entity\\Takmicenje::getIme() in /var/www/Aplikacija_Pweb/src/AppBundle/Form/PrijavaType.php on line 24, referer: http://dev.aplikacijapweb/app_dev.php/
[Sat Jan 14 14:20:46.489330 2017] [:error] [pid 4403] [client 127.0.0.1:54394] PHP Fatal error:  Call to undefined method AppBundle\\Entity\\Takmicenje::getIme() in /var/www/Aplikacija_Pweb/src/AppBundle/Form/PrijavaType.php on line 24, referer: http://dev.aplikacijapweb/app_dev.php/
[Sat Jan 14 14:34:19.392105 2017] [:error] [pid 6771] [client 127.0.0.1:54536] PHP Parse error:  syntax error, unexpected '}' in /var/www/Aplikacija_Pweb/src/AppBundle/Form/PrijavaType.php on line 53, referer: http://dev.aplikacijapweb/app_dev.php/
